၁မည်းတော်,ခမည်းတော်
၁ယမဇ္ဈဂါ,ခယမဇ္ဈဂါ
၁ဿနိက,ဒဿနိက
၁ေါသ,ဒေါသ
၃၁ါန်း,ဥဒါန်း
၃စ္စာ,ဥစ္စာ
၃ပါသကာ,ဥပါသကာ
ကည်သူ,တည်သူ
ကပှိယ,ကပ္ပိယ
ကံပ်,ကပ်
ကမ္ပနိယာမ,ကမ္မနိယာမ
ကမ္မပ္ပဋိတဟန,ကမ္မပ္ပဋိဗာဟန
ကမ္မာ့သမိုင်းမှ,ကမ္ဘာ့သမိုင်းမှ
ကျေးစူး,ကျေးဇူး
ကျောင်းဖရပ်,ကျောင်းဇရပ်
ကျောင်းလှုတ်,ကျောင်းလွှတ်
ကြောက်ရွ’့မှု,ကြောက်ရွံ့မှု
ကြောငဲ့,ကြောင့်
ကြောငဲ့ကြ,ကြောင့်ကြ
ကိသေသာ,ကိလေသာ
ကိုယ်ရောငဲ,ကိုယ်ရောင်
ကိုလေသာ,ကိလေသာ
ကုနဲ၏,ကုန်
ကူလဒူသက,ကုလဒူသက
ကူလဒူသန,ကုလဒူသန
ကူသဖြင့်,တူသဖြင့်
ကောင်းမှ၌,ကောင်းမှု၌
ကဲ့ခဲ့,ကဲ့ရဲ့
ကဲ့ရှဲ,ကဲ့ရဲ့
ခံတုင်း,ခံတွင်း
ခံ့ယူ,ခံယူ
ချမ်းသာစ္စာ,ချမ်းသာစွာ
ခိုက်ရနဲ,ခိုက်ရန်
ခေါင်းဆော့င်,ခေါင်းဆောင်
ဂိုဏဲးဆရာ,ဂိုဏ်းဆရာ
ဃှချေ,လှချေ
ငြင်းစုံ,ငြင်းခုံ
စက်ခဲ၏,ခက်ခဲ၏
စက်စဲသည်။,ခက်ခဲသည်။
စင်စစဲ,စင်စစ်
စင်စစ်ံ,စင်စစ်
စင်စား,ဝင်စား
စဉ်းလ်,စဉ်းလဲ
စည့်ဂေဟာ,ဧည့်ဂေဟာ
စတ္တိယ,ခတ္တိယ
